Pokemon,CP,Level,IV_Attack,IV_Defense,IV_HP,Evolution(CP),Collected,Collected_Shadow,Collected_Purified
Bulbasaur,520,LV20.5,0,0,3,Bulbasaur(520)-Ivysaur(830)-Venusaur(1383),YES,YES,NO
Bulbasaur,520,LV20.5,0,1,2,Bulbasaur(520)-Ivysaur(830)-Venusaur(1383),YES,YES,NO
Bulbasaur,520,LV20,0,2,7,Bulbasaur(520)-Ivysaur(825)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,0,2,14,Bulbasaur(520)-Ivysaur(822)-Venusaur(1359),YES,YES,NO
Bulbasaur,520,LV20,0,3,6,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,0,3,13,Bulbasaur(520)-Ivysaur(822)-Venusaur(1360),YES,YES,NO
Bulbasaur,520,LV20,0,4,5,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,0,4,12,Bulbasaur(520)-Ivysaur(823)-Venusaur(1360),YES,YES,NO
Bulbasaur,520,LV19.5,0,7,8,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19.5,0,8,7,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,0,8,14,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,0,9,6,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,0,9,13,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,0,10,5,Bulbasaur(520)-Ivysaur(822)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,0,10,12,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19,0,11,11,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV18.5,0,14,15,Bulbasaur(520)-Ivysaur(814)-Venusaur(1333),YES,YES,NO
Bulbasaur,520,LV20.5,1,0,1,Bulbasaur(520)-Ivysaur(830)-Venusaur(1383),YES,YES,NO
Bulbasaur,520,LV20,1,1,6,Bulbasaur(520)-Ivysaur(825)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,1,1,13,Bulbasaur(520)-Ivysaur(822)-Venusaur(1359),YES,YES,NO
Bulbasaur,520,LV20,1,2,5,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,1,2,12,Bulbasaur(520)-Ivysaur(823)-Venusaur(1360),YES,YES,NO
Bulbasaur,520,LV20,1,3,4,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,1,5,8,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19.5,1,6,7,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,1,6,14,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,1,7,6,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,1,7,13,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,1,8,5,Bulbasaur(520)-Ivysaur(822)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,1,8,12,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19,1,13,6,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,1,14,5,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,1,15,4,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV20,2,0,5,Bulbasaur(520)-Ivysaur(825)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,2,0,12,Bulbasaur(520)-Ivysaur(822)-Venusaur(1359),YES,YES,NO
Bulbasaur,520,LV20,2,1,4,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,2,1,11,Bulbasaur(520)-Ivysaur(823)-Venusaur(1360),YES,YES,NO
Bulbasaur,520,LV19.5,2,4,7,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19.5,2,5,6,Bulbasaur(520)-Ivysaur(821)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,2,5,13,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
