Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Flittle,LV40,0,0,3,520
Flittle,LV39,0,0,6,520
Flittle,LV37.5,0,0,11,520
Flittle,LV40.5,0,1,0,520
Flittle,LV38.5,0,1,6,520
Flittle,LV37.5,0,1,9,520
Flittle,LV36,0,1,14,520
Flittle,LV39.5,0,2,1,520
Flittle,LV38.5,0,2,4,520
Flittle,LV37,0,2,9,520
Flittle,LV35.5,0,2,14,520
Flittle,LV39,0,3,1,520
Flittle,LV38,0,3,4,520
Flittle,LV37,0,3,7,520
Flittle,LV35.5,0,3,12,520
Flittle,LV35,0,3,14,520
Flittle,LV37.5,0,4,4,520
Flittle,LV36.5,0,4,7,520
Flittle,LV35,0,4,12,520
Flittle,LV34.5,0,4,14,520
Flittle,LV36,0,5,7,520
Flittle,LV34.5,0,5,12,520
Flittle,LV34,0,5,14,520
Flittle,LV37,0,6,2,520
Flittle,LV35.5,0,6,7,520
Flittle,LV34,0,6,12,520
Flittle,LV33.5,0,6,14,520
Flittle,LV36.5,0,7,2,520
Flittle,LV35,0,7,7,520
Flittle,LV33,0,7,14,520
Flittle,LV35.5,0,8,4,520
Flittle,LV34.5,0,8,7,520
Flittle,LV34,0,8,9,520
Flittle,LV32.5,0,8,14,520
Flittle,LV35,0,9,4,520
Flittle,LV34,0,9,7,520
Flittle,LV33.5,0,9,9,520
Flittle,LV34.5,0,10,4,520
Flittle,LV33,0,10,9,520
Flittle,LV32.5,0,10,11,520
Flittle,LV35,0,11,1,520
Flittle,LV34,0,11,4,520
Flittle,LV33.5,0,11,6,520
Flittle,LV32,0,11,11,520
Flittle,LV31.5,0,11,13,520
Flittle,LV31,0,11,15,520
Flittle,LV34.5,0,12,1,520
Flittle,LV33,0,12,6,520
Flittle,LV31,0,12,13,520
Flittle,LV30.5,0,12,15,520
Flittle,LV33.5,0,13,3,520
Flittle,LV32,0,13,8,520
Flittle,LV34,0,14,0,520
Flittle,LV33,0,14,3,520
Flittle,LV31,0,14,10,520
Flittle,LV30.5,0,14,12,520
Flittle,LV30,0,14,14,520
Flittle,LV33.5,0,15,0,520
Flittle,LV32,0,15,5,520
Flittle,LV31.5,0,15,7,520
Flittle,LV40,1,0,1,520
Flittle,LV39,1,0,4,520
Flittle,LV38,1,0,7,520
Flittle,LV36.5,1,0,12,520
Flittle,LV36,1,0,14,520
Flittle,LV38.5,1,1,4,520
Flittle,LV37.5,1,1,7,520
Flittle,LV36,1,1,12,520
Flittle,LV38.5,1,2,2,520
Flittle,LV37,1,2,7,520
Flittle,LV36,1,2,10,520
Flittle,LV35.5,1,2,12,520
Flittle,LV38,1,3,2,520
Flittle,LV37,1,3,5,520
Flittle,LV35.5,1,3,10,520
Flittle,LV37.5,1,4,2,520
Flittle,LV36.5,1,4,5,520
Flittle,LV35,1,4,10,520
Flittle,LV36,1,5,5,520
Flittle,LV34.5,1,5,10,520
Flittle,LV35.5,1,6,5,520
Flittle,LV34,1,6,10,520
Flittle,LV33.5,1,6,12,520
Flittle,LV35,1,7,5,520
Flittle,LV33.5,1,7,10,520
Flittle,LV33,1,7,12,520
Flittle,LV35.5,1,8,2,520
Flittle,LV34.5,1,8,5,520
Flittle,LV33,1,8,10,520
Flittle,LV32.5,1,8,12,520
Flittle,LV32,1,8,14,520
Flittle,LV35,1,9,2,520
Flittle,LV34,1,9,5,520
Flittle,LV33.5,1,9,7,520
Flittle,LV32,1,9,12,520
Flittle,LV31.5,1,9,14,520
Flittle,LV34.5,1,10,2,520
Flittle,LV33,1,10,7,520
Flittle,LV34,1,11,2,520
Flittle,LV32.5,1,11,7,520
Flittle,LV32,1,11,9,520
Flittle,LV33,1,12,4,520
Flittle,LV31.5,1,12,9,520
Flittle,LV31,1,12,11,520
Flittle,LV30.5,1,12,13,520
Flittle,LV30,1,12,15,520
Flittle,LV33.5,1,13,1,520
Flittle,LV32.5,1,13,4,520
Flittle,LV32,1,13,6,520
Flittle,LV33,1,14,1,520
Flittle,LV31.5,1,14,6,520
Flittle,LV31,1,14,8,520
Flittle,LV30.5,1,14,10,520
Flittle,LV32,1,15,3,520
Flittle,LV30,1,15,10,520
Flittle,LV29.5,1,15,14,520
Flittle,LV39,2,0,2,520
Flittle,LV38,2,0,5,520
Flittle,LV36.5,2,0,10,520
Flittle,LV38.5,2,1,2,520
Flittle,LV37.5,2,1,5,520
Flittle,LV36.5,2,1,8,520
Flittle,LV36,2,1,10,520
Flittle,LV34.5,2,1,15,520
Flittle,LV38.5,2,2,0,520
Flittle,LV36,2,2,8,520
Flittle,LV34,2,2,15,520
Flittle,LV38,2,3,0,520
Flittle,LV37,2,3,3,520
Flittle,LV35.5,2,3,8,520
Flittle,LV34,2,3,13,520
Flittle,LV33.5,2,3,15,520
Flittle,LV37.5,2,4,0,520
Flittle,LV36.5,2,4,3,520
Flittle,LV35,2,4,8,520
Flittle,LV33.5,2,4,13,520
Flittle,LV33,2,4,15,520
Flittle,LV37,2,5,0,520
Flittle,LV36,2,5,3,520
Flittle,LV34.5,2,5,8,520
Flittle,LV33,2,5,13,520
Flittle,LV32.5,2,5,15,520
Flittle,LV36.5,2,6,0,520
Flittle,LV35.5,2,6,3,520
Flittle,LV34,2,6,8,520
Flittle,LV32,2,6,15,520
Flittle,LV36,2,7,0,520
Flittle,LV35,2,7,3,520
Flittle,LV33.5,2,7,8,520
Flittle,LV35.5,2,8,0,520
Flittle,LV34.5,2,8,3,520
Flittle,LV33,2,8,8,520
Flittle,LV32.5,2,8,10,520
Flittle,LV35,2,9,0,520
Flittle,LV34,2,9,3,520
Flittle,LV33.5,2,9,5,520
Flittle,LV32,2,9,10,520
Flittle,LV31.5,2,9,12,520
Flittle,LV34.5,2,10,0,520
Flittle,LV33,2,10,5,520
Flittle,LV31,2,10,12,520
Flittle,LV30.5,2,10,14,520
Flittle,LV33.5,2,11,2,520
Flittle,LV32.5,2,11,5,520
Flittle,LV32,2,11,7,520
Flittle,LV33,2,12,2,520
Flittle,LV31.5,2,12,7,520
Flittle,LV31,2,12,9,520
Flittle,LV32,2,13,4,520
Flittle,LV30,2,13,11,520
Flittle,LV29.5,2,13,15,520
Flittle,LV32.5,2,14,1,520
Flittle,LV31.5,2,14,4,520
Flittle,LV31,2,14,6,520
Flittle,LV32,2,15,1,520
Flittle,LV30,2,15,8,520
