Name,Level,IV_Attack,IV_Defense,IV_HP,CP
Orthworm,LV9,0,0,15,520
Orthworm,LV9,0,3,13,520
Orthworm,LV9,0,4,12,520
Orthworm,LV9,0,5,11,520
Orthworm,LV9,0,6,10,520
Orthworm,LV9,0,9,8,520
Orthworm,LV9,0,10,7,520
Orthworm,LV9,0,11,6,520
Orthworm,LV9,0,13,5,520
Orthworm,LV9,0,14,4,520
Orthworm,LV9,0,15,3,520
Orthworm,LV9,1,0,13,520
Orthworm,LV9,1,1,12,520
Orthworm,LV9,1,2,11,520
Orthworm,LV9,1,5,9,520
Orthworm,LV9,1,6,8,520
Orthworm,LV9,1,7,7,520
Orthworm,LV9,1,10,5,520
Orthworm,LV9,1,11,4,520
Orthworm,LV9,1,12,3,520
Orthworm,LV9,1,14,2,520
Orthworm,LV9,1,15,1,520
Orthworm,LV9,2,0,11,520
Orthworm,LV9,2,1,10,520
Orthworm,LV9,2,2,9,520
Orthworm,LV9,2,3,8,520
Orthworm,LV9,2,6,6,520
Orthworm,LV9,2,7,5,520
Orthworm,LV9,2,8,4,520
Orthworm,LV9,2,10,3,520
Orthworm,LV9,2,11,2,520
Orthworm,LV9,2,12,1,520
Orthworm,LV9,2,14,0,520
Orthworm,LV9,3,2,7,520
Orthworm,LV9,3,3,6,520
Orthworm,LV9,3,4,5,520
Orthworm,LV9,3,7,3,520
Orthworm,LV9,3,8,2,520
Orthworm,LV9,3,9,1,520
Orthworm,LV9,3,11,0,520
Orthworm,LV9,4,0,6,520
Orthworm,LV9,4,3,4,520
Orthworm,LV9,4,4,3,520
Orthworm,LV9,4,5,2,520
Orthworm,LV9,4,7,1,520
Orthworm,LV9,4,8,0,520
Orthworm,LV9,5,0,4,520
Orthworm,LV9,5,1,3,520
Orthworm,LV9,5,3,2,520
Orthworm,LV9,5,4,1,520
Orthworm,LV9,5,5,0,520
Orthworm,LV8.5,5,14,15,520
Orthworm,LV8.5,5,15,14,520
Orthworm,LV9,6,0,2,520
Orthworm,LV9,6,1,1,520
Orthworm,LV9,6,3,0,520
Orthworm,LV8.5,6,11,15,520
Orthworm,LV8.5,6,12,14,520
Orthworm,LV8.5,6,14,13,520
Orthworm,LV8.5,6,15,12,520
Orthworm,LV9,7,0,0,520
Orthworm,LV8.5,7,10,14,520
Orthworm,LV8.5,7,11,13,520
Orthworm,LV8.5,7,12,12,520
Orthworm,LV8.5,7,13,11,520
Orthworm,LV8.5,7,15,10,520
Orthworm,LV8.5,8,6,15,520
Orthworm,LV8.5,8,7,14,520
Orthworm,LV8.5,8,8,13,520
Orthworm,LV8.5,8,9,12,520
Orthworm,LV8.5,8,11,11,520
Orthworm,LV8.5,8,12,10,520
Orthworm,LV8.5,8,13,9,520
Orthworm,LV8.5,9,3,15,520
Orthworm,LV8.5,9,4,14,520
Orthworm,LV8.5,9,7,12,520
Orthworm,LV8.5,9,8,11,520
Orthworm,LV8.5,9,9,10,520
Orthworm,LV8.5,9,12,8,520
Orthworm,LV8.5,9,13,7,520
Orthworm,LV8.5,9,14,6,520
Orthworm,LV8.5,10,2,14,520
Orthworm,LV8.5,10,3,13,520
Orthworm,LV8.5,10,4,12,520
Orthworm,LV8.5,10,5,11,520
Orthworm,LV8.5,10,7,10,520
Orthworm,LV8.5,10,8,9,520
Orthworm,LV8.5,10,9,8,520
Orthworm,LV8.5,10,10,7,520
Orthworm,LV8.5,10,12,6,520
Orthworm,LV8.5,10,13,5,520
Orthworm,LV8.5,10,14,4,520
Orthworm,LV8.5,11,0,13,520
Orthworm,LV8.5,11,3,11,520
Orthworm,LV8.5,11,4,10,520
Orthworm,LV8.5,11,5,9,520
Orthworm,LV8.5,11,6,8,520
Orthworm,LV8.5,11,8,7,520
Orthworm,LV8.5,11,9,6,520
Orthworm,LV8.5,11,10,5,520
Orthworm,LV8.5,11,13,3,520
Orthworm,LV8.5,11,14,2,520
Orthworm,LV8.5,12,0,11,520
Orthworm,LV8.5,12,1,10,520
Orthworm,LV8.5,12,3,9,520
Orthworm,LV8.5,12,4,8,520
Orthworm,LV8.5,12,5,7,520
Orthworm,LV8.5,12,6,6,520
Orthworm,LV8.5,12,8,5,520
Orthworm,LV8.5,12,9,4,520
Orthworm,LV8.5,12,10,3,520
Orthworm,LV8.5,12,13,1,520
Orthworm,LV8.5,12,14,0,520
Orthworm,LV8.5,13,0,9,520
Orthworm,LV8.5,13,1,8,520
Orthworm,LV8.5,13,4,6,520
Orthworm,LV8.5,13,5,5,520
Orthworm,LV8.5,13,6,4,520
Orthworm,LV8.5,13,8,3,520
Orthworm,LV8.5,13,9,2,520
Orthworm,LV8.5,13,10,1,520
Orthworm,LV8.5,14,0,7,520
Orthworm,LV8.5,14,1,6,520
Orthworm,LV8.5,14,4,4,520
Orthworm,LV8.5,14,5,3,520
Orthworm,LV8.5,14,6,2,520
Orthworm,LV8.5,14,8,1,520
Orthworm,LV8.5,14,9,0,520
Orthworm,LV8.5,15,0,5,520
Orthworm,LV8.5,15,1,4,520
Orthworm,LV8.5,15,4,2,520
Orthworm,LV8.5,15,5,1,520
Orthworm,LV8.5,15,6,0,520
